datetime,sessionTime,HR
250320185526.349,0.800,72
250320185527.340,1.780,72
250320185528.319,2.760,72
250320185529.310,3.760,72
250320185530.288,4.740,72
250320185531.269,5.720,74
250320185532.347,6.800,75
250320185533.331,7.780,75
250320185534.312,8.760,75
250320185535.394,9.840,75
250320185536.278,10.720,75
250320185537.357,11.800,75
250320185538.334,12.780,75
250320185539.323,13.760,74
250320185540.306,14.760,74
250320185541.374,15.820,74
250320185542.274,16.720,74
250320185543.350,17.800,73
250320185544.324,18.780,73
250320185545.314,19.760,73
250320185546.333,20.500,74
250320185547.332,21.500,73
250320185548.316,22.480,73
250320185549.302,23.460,73
250320185550.287,24.440,73
250320185551.355,25.520,72
250320185552.359,26.520,72
250320185553.339,27.500,72
250320185554.318,28.480,72
250320185555.390,29.560,72
250320185556.366,30.520,73
250320185557.346,31.500,74
250320185558.328,32.480,74
250320185559.318,33.480,73
250320185600.295,34.460,73
250320185601.373,35.540,74
250320185602.354,36.520,74
250320185603.339,37.500,73
250320185604.316,38.480,74
250320185605.295,39.460,74
250320185606.393,39.940,74
250320185607.311,41.180,74
250320185608.294,42.160,75
250320185609.390,43.260,73
250320185610.317,44.180,73
250320185611.363,45.240,73
250320185612.385,46.260,73
250320185613.303,47.160,73
250320185614.299,48.160,73
250320185615.300,49.160,73
250320185616.302,50.160,73
250320185617.301,51.160,73
250320185618.299,52.160,73
250320185619.310,53.180,73
250320185620.306,54.180,74
250320185621.308,55.180,74
250320185622.301,56.160,74
250320185623.307,57.180,73
250320185624.314,58.180,73
250320185625.324,59.180,72
250320185626.771,59.960,71
250320185627.352,60.860,71
