datetime,sessionTime,HR
250320200754.216,0.160,83
250320200755.225,1.160,84
250320200756.230,2.160,85
250320200757.247,3.180,85
250320200758.249,4.180,87
250320200759.248,5.180,87
250320200800.253,6.200,88
250320200801.254,7.200,88
250320200802.252,8.200,89
250320200803.260,9.200,88
250320200804.257,10.200,87
250320200805.260,11.200,86
250320200806.264,12.200,86
250320200807.269,13.200,87
250320200808.638,13.780,88
250320200809.254,14.700,89
250320200810.259,15.700,89
250320200811.261,16.700,88
250320200812.271,17.720,89
250320200813.296,18.740,89
250320200814.308,19.760,88
250320200815.171,20.620,87
250320200816.298,21.760,86
250320200817.176,22.620,87
250320200818.328,23.780,86
250320200819.186,24.640,85
250320200820.189,25.640,84
250320200821.199,26.640,84
250320200822.348,27.800,84
250320200823.206,28.660,84
250320200824.349,29.800,84
250320200825.214,30.660,84
250320200826.216,31.660,84
250320200827.220,32.660,84
250320200828.229,33.680,83
250320200829.163,33.820,83
250320200830.199,35.160,83
250320200831.213,36.180,83
250320200832.223,37.180,83
250320200833.225,38.180,83
250320200834.278,39.240,84
250320200835.168,40.140,85
250320200836.273,41.240,85
250320200837.183,42.140,85
250320200838.186,43.160,86
250320200839.299,44.260,86
250320200840.180,45.140,87
250320200841.294,46.260,87
250320200842.182,47.140,88
250320200843.295,48.260,88
250320200844.178,49.140,89
250320200845.292,50.260,89
250320200846.181,51.140,90
250320200847.296,52.260,90
250320200848.180,53.140,90
250320200849.601,53.920,90
250320200850.188,54.820,90
250320200851.201,55.840,90
250320200852.205,56.840,89
250320200853.205,57.840,89
250320200854.213,58.860,89
250320200855.232,59.860,89
250320200856.204,60.840,89
250320200857.324,61.960,90
250320200858.162,62.800,91
