datetime,sessionTime,HR
250320201050.471,0.440,92
250320201051.181,1.180,90
250320201052.270,2.260,89
250320201053.171,3.160,89
250320201054.226,4.220,89
250320201055.258,5.260,90
250320201056.331,6.320,92
250320201057.228,7.220,93
250320201058.269,8.260,93
250320201059.166,9.160,93
250320201100.367,10.360,92
250320201101.331,10.500,91
250320201102.268,11.740,91
250320201103.178,12.680,91
250320201104.256,13.740,92
250320201105.155,14.640,92
250320201106.199,15.680,92
250320201107.247,16.720,93
250320201108.304,17.780,93
250320201109.202,18.680,94
250320201110.246,19.720,94
250320201111.296,20.780,94
250320201112.194,21.680,93
250320201113.239,22.720,92
250320201114.287,23.760,92
250320201115.188,24.660,91
250320201116.239,25.720,92
250320201117.288,26.760,92
250320201118.187,27.660,92
250320201119.236,28.720,92
250320201120.292,29.780,92
250320201121.860,30.520,93
250320201122.203,31.160,94
250320201123.257,32.220,94
250320201124.328,33.280,96
250320201125.376,34.340,98
250320201126.275,35.240,98
250320201127.346,36.300,97
250320201128.266,37.220,96
250320201129.308,38.280,94
250320201130.220,39.180,94
250320201131.261,40.220,94
250320201132.173,41.140,93
250320201133.221,42.180,92
250320201134.266,43.220,92
250320201135.313,44.280,92
250320201136.212,45.180,93
250320201137.262,46.220,94
250320201138.305,47.260,96
250320201139.201,48.160,97
250320201140.254,49.220,97
250320201141.299,50.260,97
250320201142.401,50.560,97
250320201143.192,51.660,96
250320201144.245,52.700,95
250320201145.292,53.760,95
250320201146.186,54.640,95
250320201147.233,55.700,95
250320201148.285,56.740,95
250320201149.177,57.640,94
250320201150.226,58.680,94
250320201151.279,59.740,95
250320201152.194,60.660,97
250320201153.259,61.720,98
250320201154.322,62.780,101
250320201155.218,63.680,103
250320201156.276,64.740,103
250320201157.323,65.780,103
250320201158.217,66.680,103
250320201159.266,67.720,101
250320201200.320,68.780,100
250320201201.220,69.680,100
250320201202.944,70.580,99
250320201203.289,71.240,98
250320201204.198,72.140,97
250320201205.243,73.180,96
250320201206.296,74.240,96
250320201207.198,75.140,97
250320201208.258,76.200,98
250320201209.327,77.280,98
250320201210.322,78.060,98
250320201217.351,78.080,98
250320201217.351,78.080,99
250320201217.351,78.080,99
250320201217.351,78.080,99
250320201217.351,78.080,99
250320201217.351,78.080,100
250320201217.351,78.080,101
250320201218.299,79.020,103
250320201219.222,79.940,104
250320201220.281,81.000,105
250320201221.249,81.960,105
250320201222.269,82.980,103
250320201223.272,84.000,102
250320201224.316,85.020,100
250320201225.184,85.900,99
250320201226.208,86.920,99
250320201227.228,87.940,100
250320201228.250,88.960,101
250320201229.273,89.980,101
250320201230.809,90.720,101
250320201231.291,91.500,101
250320201232.312,92.520,100
250320201233.191,93.400,100
250320201234.209,94.420,101
250320201235.227,95.440,102
250320201236.237,96.460,102
250320201237.147,97.360,103
250320201238.292,98.520,104
250320201239.344,99.560,103
250320201240.215,100.420,103
250320201241.244,101.460,102
250320201242.295,102.500,102
250320201243.304,103.520,103
250320201244.207,104.420,103
250320201245.226,105.440,102
250320201246.230,106.460,101
250320201247.267,107.480,101
250320201248.291,108.500,100
250320201249.306,109.520,100
250320201250.327,110.540,100
250320201251.411,110.820,100
250320201252.187,111.900,102
250320201253.206,112.920,103
250320201254.227,113.940,105
250320201255.242,114.960,106
250320201256.259,115.980,108
250320201257.285,117.000,109
250320201258.307,118.020,110
250320201259.182,118.900,110
250320201300.202,119.920,110
250320201301.224,120.940,110
250320201302.243,121.960,109
250320201303.263,122.980,108
250320201304.284,124.000,108
250320201305.305,125.020,108
250320201306.218,125.940,108
250320201307.235,126.960,109
250320201308.248,127.960,110
250320201309.279,129.000,110
250320201310.148,129.860,111
250320201311.999,130.880,110
250320201312.192,131.380,109
250320201313.227,132.420,109
250320201314.244,133.440,109
250320201315.251,134.440,109
250320201316.291,135.480,108
250320201317.304,136.500,107
250320201318.189,137.380,107
250320201319.213,138.400,108
250320201320.245,139.440,110
250320201321.242,140.440,110
250320201322.290,141.480,111
250320201323.164,142.360,109
250320201324.326,143.520,108
250320201325.206,144.400,106
250320201326.226,145.420,105
250320201327.235,146.420,104
250320201328.253,147.440,104
250320201329.286,148.480,103
250320201330.333,149.520,102
250320201331.347,150.540,102
250320201332.590,150.980,102
250320201333.214,151.900,103
250320201334.235,152.920,103
250320201335.257,153.940,102
250320201336.273,154.960,100
250320201337.301,155.980,99
250320201338.320,157.000,98
250320201339.192,157.880,97
250320201340.207,158.900,97
250320201341.235,159.920,98
250320201342.253,160.940,99
250320201343.276,161.960,100
250320201344.299,162.980,101
250320201345.174,163.860,101
250320201346.190,164.880,101
250320201347.213,165.900,102
250320201348.236,166.920,104
250320201349.287,167.980,105
250320201350.288,168.980,105
250320201351.183,169.860,105
250320201352.210,170.900,103
250320201353.159,171.040,102
250320201354.228,172.420,100
250320201355.268,173.460,99
250320201356.296,174.480,99
250320201357.332,175.520,98
250320201358.216,176.400,98
250320201359.231,177.420,97
250320201400.248,178.440,98
250320201401.272,179.460,98
250320201402.291,180.480,98
250320201403.311,181.500,98
250320201404.181,182.360,98
250320201405.208,183.400,100
250320201406.229,184.420,101
250320201407.243,185.420,101
250320201408.262,186.440,102
250320201409.290,187.480,102
250320201410.308,188.500,103
250320201411.326,189.520,103
250320201412.194,190.380,102
250320201413.730,191.100,102
250320201414.212,191.900,102
250320201415.235,192.920,103
250320201416.522,194.120,103
250320201417.492,195.040,102
250320201418.181,195.660,103
250320201419.192,196.680,102
250320201420.175,197.660,102
250320201421.310,198.780,101
250320201422.256,199.740,100
250320201423.227,200.700,99
250320201424.343,201.820,100
250320201425.303,202.780,100
250320201426.257,203.740,101
250320201427.214,204.700,101
250320201428.170,205.640,101
250320201429.286,206.760,101
250320201430.258,207.740,101
250320201431.205,208.680,101
250320201432.161,209.640,100
250320201433.229,210.720,100
