datetime,sessionTime,HR
250401012636.173,53.660,94
250401012636.173,53.660,94
250401012636.173,53.660,93
250401012636.173,53.660,91
250401012636.173,53.660,88
250401012636.173,53.660,88
250401012636.173,53.660,89
250401012636.173,53.660,89
250401012636.173,53.660,91
250401012636.173,53.660,92
250401012636.173,53.660,93
250401012636.173,53.660,92
250401012636.173,53.660,90
250401012636.173,53.660,90
250401012636.173,53.660,92
250401012636.173,53.660,94
250401012636.173,53.660,96
250401012636.173,53.660,97
250401012636.173,53.660,97
250401012636.173,53.660,98
250401012636.173,53.660,98
250401012636.173,53.660,97
250401012636.173,53.660,98
250401012636.173,53.660,97
250401012636.173,53.660,97
250401012636.173,53.660,94
250401012636.173,53.660,92
250401012636.173,53.660,91
250401012636.173,53.660,94
250401012636.173,53.660,95
250401012636.173,53.660,96
250401012636.173,53.660,96
250401012636.173,53.660,95
250401012636.173,53.660,94
250401012636.173,53.660,89
250401012636.244,53.740,81
250401012637.247,54.740,80
250401012638.286,55.780,81
250401012639.261,56.760,82
250401012640.258,57.760,83
